encoder_key,resolution,seed,weights_compactness,weights_purity,weights_alignment,class_k,reliability_power,validation_accuracy,validation_nll
siglip2_b16_384,384,7,0.5,0.5,0.0,3,2.0,0.9395454545454546,0.603790137385211
siglip2_b16_384,384,7,0.5,0.5,0.0,5,0.0,0.9518181818181818,0.6583271479904116
siglip2_b16_384,384,7,0.5,0.5,0.0,5,0.5,0.9486363636363636,0.6489206177537847
siglip2_b16_384,384,7,0.5,0.5,0.0,5,1.0,0.9472727272727273,0.6419309180894581
siglip2_b16_384,384,7,0.5,0.5,0.0,5,2.0,0.9440909090909091,0.6332710255516235
siglip2_b16_384,384,7,0.5,0.5,0.0,10,0.0,0.9495454545454546,0.7062846001646259
siglip2_b16_384,384,7,0.5,0.5,0.0,10,0.5,0.9495454545454546,0.6986061771561303
siglip2_b16_384,384,7,0.5,0.5,0.0,10,1.0,0.9486363636363636,0.6929029563729993
siglip2_b16_384,384,7,0.5,0.5,0.0,10,2.0,0.9436363636363636,0.6858268499848568
siglip2_b16_384,384,7,0.5,0.0,0.5,1,0.0,0.9404545454545454,0.605507270878939
siglip2_b16_384,384,7,0.5,0.0,0.5,1,0.5,0.94,0.6056328534956288
siglip2_b16_384,384,7,0.5,0.0,0.5,1,1.0,0.9390909090909091,0.6058525287581039
siglip2_b16_384,384,7,0.5,0.0,0.5,1,2.0,0.9386363636363636,0.606575094374485
siglip2_b16_384,384,7,0.5,0.0,0.5,3,0.0,0.9481818181818182,0.6327085080228225
siglip2_b16_384,384,7,0.5,0.0,0.5,3,0.5,0.9477272727272728,0.6329244631333893
siglip2_b16_384,384,7,0.5,0.0,0.5,3,1.0,0.9477272727272728,0.6332073544796057
siglip2_b16_384,384,7,0.5,0.0,0.5,3,2.0,0.9454545454545454,0.6339743827581409
siglip2_b16_384,384,7,0.5,0.0,0.5,5,0.0,0.9518181818181818,0.6583271479904116
siglip2_b16_384,384,7,0.5,0.0,0.5,5,0.5,0.9513636363636364,0.6585570858576578
siglip2_b16_384,384,7,0.5,0.0,0.5,5,1.0,0.9509090909090909,0.6588470985885461
siglip2_b16_384,384,7,0.5,0.0,0.5,5,2.0,0.9490909090909091,0.6596074669784336
siglip2_b16_384,384,7,0.5,0.0,0.5,10,0.0,0.9495454545454546,0.7062846001646259
siglip2_b16_384,384,7,0.5,0.0,0.5,10,0.5,0.9495454545454546,0.706524769902371
siglip2_b16_384,384,7,0.5,0.0,0.5,10,1.0,0.9495454545454546,0.7068187337748102
siglip2_b16_384,384,7,0.5,0.0,0.5,10,2.0,0.9486363636363636,0.7075678608546347
siglip2_b16_384,384,7,0.0,0.5,0.5,1,0.0,0.9404545454545454,0.605507270878939
siglip2_b16_384,384,7,0.0,0.5,0.5,1,0.5,0.9363636363636364,0.586058983827142
siglip2_b16_384,384,7,0.0,0.5,0.5,1,1.0,0.935,0.5731238049597618
siglip2_b16_384,384,7,0.0,0.5,0.5,1,2.0,0.9277272727272727,0.5614524636837424
siglip2_b16_384,384,7,0.0,0.5,0.5,3,0.0,0.9481818181818182,0.6327085080228225
siglip2_b16_384,384,7,0.0,0.5,0.5,3,0.5,0.9459090909090909,0.6183013488132678
siglip2_b16_384,384,7,0.0,0.5,0.5,3,1.0,0.9431818181818182,0.6082668044886278
siglip2_b16_384,384,7,0.0,0.5,0.5,3,2.0,0.9390909090909091,0.5969164819952497
siglip2_b16_384,384,7,0.0,0.5,0.5,5,0.0,0.9518181818181818,0.6583271479904116
siglip2_b16_384,384,7,0.0,0.5,0.5,5,0.5,0.9490909090909091,0.6459638307610194
siglip2_b16_384,384,7,0.0,0.5,0.5,5,1.0,0.9477272727272728,0.6371798018373863
siglip2_b16_384,384,7,0.0,0.5,0.5,5,2.0,0.9440909090909091,0.6266879806792822
siglip2_b16_384,384,7,0.0,0.5,0.5,10,0.0,0.9495454545454546,0.7062846001646259
siglip2_b16_384,384,7,0.0,0.5,0.5,10,0.5,0.95,0.6961121419602033
siglip2_b16_384,384,7,0.0,0.5,0.5,10,1.0,0.9477272727272728,0.6888099390465897
siglip2_b16_384,384,7,0.0,0.5,0.5,10,2.0,0.9431818181818182,0.6798585921035628
siglip2_b16_384,384,7,0.35,0.4,0.25,1,0.0,0.9404545454545454,0.605507270878939
siglip2_b16_384,384,7,0.35,0.4,0.25,1,0.5,0.9368181818181818,0.5921170342126487
siglip2_b16_384,384,7,0.35,0.4,0.25,1,1.0,0.9345454545454546,0.5819378381913786
siglip2_b16_384,384,7,0.35,0.4,0.25,1,2.0,0.93,0.5694345417122118
siglip2_b16_384,384,7,0.35,0.4,0.25,3,0.0,0.9481818181818182,0.6327085080228225
siglip2_b16_384,384,7,0.35,0.4,0.25,3,0.5,0.9459090909090909,0.6228969957591345
siglip2_b16_384,384,7,0.35,0.4,0.25,3,1.0,0.9440909090909091,0.6153126401997767
siglip2_b16_384,384,7,0.35,0.4,0.25,3,2.0,0.9418181818181818,0.6052959212137119
siglip2_b16_384,384,7,0.35,0.4,0.25,5,0.0,0.9518181818181818,0.6583271479904116
siglip2_b16_384,384,7,0.35,0.4,0.25,5,0.5,0.9490909090909091,0.6499435636709346
siglip2_b16_384,384,7,0.35,0.4,0.25,5,1.0,0.9477272727272728,0.6434113668430369
siglip2_b16_384,384,7,0.35,0.4,0.25,5,2.0,0.9445454545454546,0.6346013313172257
siglip2_b16_384,384,7,0.35,0.4,0.25,10,0.0,0.9495454545454546,0.7062846001646259
siglip2_b16_384,384,7,0.35,0.4,0.25,10,0.5,0.95,0.6994318388733886
siglip2_b16_384,384,7,0.35,0.4,0.25,10,1.0,0.9486363636363636,0.6940882706421002
siglip2_b16_384,384,7,0.35,0.4,0.25,10,2.0,0.9436363636363636,0.6868542100630124
siglip2_b16_384,384,7,0.45,0.35,0.2,1,0.0,0.9404545454545454,0.605507270878939
siglip2_b16_384,384,7,0.45,0.35,0.2,1,0.5,0.9372727272727273,0.5941981336030697
siglip2_b16_384,384,7,0.45,0.35,0.2,1,1.0,0.9345454545454546,0.5852597762184437
siglip2_b16_384,384,7,0.45,0.35,0.2,1,2.0,0.9318181818181818,0.5733876030973989
siglip2_b16_384,384,7,0.45,0.35,0.2,3,0.0,0.9481818181818182,0.6327085080228225
siglip2_b16_384,384,7,0.45,0.35,0.2,3,0.5,0.9472727272727273,0.6244612206443912
siglip2_b16_384,384,7,0.45,0.35,0.2,3,1.0,0.9454545454545454,0.6178782527140363
