encoder_key,resolution,method,budget_per_class,accuracy_mean,accuracy_std,macro_f1_mean,global_neighbor_label_precision_mean
siglip2_b16_384,384,EvidenceMem v4 continuous fusion,20,0.9426060606060606,0.001398543122328973,0.9417948955630994,0.7974484848484849
siglip2_b16_384,384,EvidenceMem v4 continuous fusion,40,0.9492727272727273,0.002170424797511496,0.9487767158998907,0.8645515151515152
siglip2_b16_384,384,EvidenceMem v4 continuous fusion,80,0.9543636363636363,0.0016680435084269632,0.9540353686907694,0.9067959595959596
siglip2_b16_384,384,Facility selection (no reliability),20,0.9423636363636364,0.0022818000723656613,0.9416138313445878,0.784760606060606
siglip2_b16_384,384,Facility selection (no reliability),40,0.948060606060606,0.0010409432749889473,0.9475798430985861,0.8645515151515152
siglip2_b16_384,384,Facility selection (no reliability),80,0.9553333333333333,0.002458096944324015,0.9549735196797495,0.9067959595959596
siglip2_b16_384,384,Random memory,20,0.9136969696969697,0.004067836168375689,0.911874957333891,0.6825151515151515
siglip2_b16_384,384,Random memory,40,0.9276969696969697,0.003253873865586932,0.9267256802822222,0.8324454545454545
siglip2_b16_384,384,Random memory,80,0.9352727272727274,0.0031608254085831295,0.934594287828792,0.8674515151515152
