encoder_key,resolution,seed,method,temperature,nll_uncalibrated,nll,ece_15_uncalibrated,ece_15,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,aurc
siglip2_b16_384,384,7,CLIP zero-shot,0.02,2.348580033338351,0.7524928427365811,0.7839846189837093,0.324947961624787,0.3060153116683117,0.8984848484848484,0.9143338954468803,0.048430636081381775
siglip2_b16_384,384,7,Full kNN,1.0,0.35758902917307667,0.35758902917307667,0.011950978386985587,0.011950978386985587,0.8185022265047955,0.9054545454545454,0.9886211512717537,0.010821963554657778
siglip2_b16_384,384,7,Linear probe,1.0,0.11041394655416507,0.11041394655416507,0.011819357118448323,0.011819357118448323,0.8720905016784811,0.896969696969697,0.9949324324324325,0.0019480554311093043
siglip2_b16_384,384,7,Random memory fused,0.2,1.0940465055445017,0.2577335021736741,0.5735371017539999,0.031494731391309684,0.8817597246390346,0.8930303030303031,0.9674244994910078,0.00915494375289459
siglip2_b16_384,384,7,Centroid fused,0.15,1.416974793267616,0.3261543507055099,0.6342360834663398,0.030246640536126954,0.7043591668604874,0.9015151515151515,0.9408403361344538,0.017738389590584318
siglip2_b16_384,384,7,KMeans medoids fused,0.2,1.0638950118652923,0.1884826722531443,0.581345012924982,0.025487710647907467,0.9298725259475403,0.896969696969697,0.9824324324324324,0.0055307487234229685
siglip2_b16_384,384,7,Facility selection (no reliability) fused,0.2,1.0589359516568855,0.17713991796190626,0.5852656415740196,0.0240965491818386,0.9204849065804879,0.9136363636363637,0.9830845771144279,0.004960258873312331
siglip2_b16_384,384,7,EvidenceMem v2 selection fused,0.2,1.0486434327770038,0.25512075133477663,0.5694897615418719,0.039896621401538476,0.9638282894683285,0.9045454545454545,0.9752093802345059,0.008956180544962188
siglip2_b16_384,384,7,EvidenceMem v4 global fusion,0.2,1.0594472147397693,0.17933233658161832,0.5846856244631544,0.024081431979772715,0.9186146074096583,0.9151515151515152,0.9827814569536424,0.0050387114910181805
siglip2_b16_384,384,7,EvidenceMem v4 class-conditional visual,0.2,0.6522575905062065,0.17353558591915716,0.37780728588899454,0.01844912997005925,0.9007229486114574,0.9045454545454545,0.9835845896147404,0.0045917813298431125
siglip2_b16_384,384,7,EvidenceMem v4 fixed fusion,0.2,0.8265418332033275,0.15968446780538864,0.4762694293262614,0.012942499264682814,0.8713218174984928,0.9057575757575758,0.9842756774841084,0.004374936903694679
