hypothesis_id,role,encoder_key,method,baseline,alternative,margin,accuracy_delta,accuracy_delta_pp,ci_low,ci_high,ci_low_pp,ci_high_pp,bootstrap_p_two_sided,seed_sign_flip_p_two_sided,seed_deltas,draws,n_seeds,n_examples,evidence_stored_examples,baseline_stored_examples,baseline_to_evidence_storage_ratio,decision_boundary,supported,decision_rule
H1_full_knn_noninferiority_1pp,primary,siglip2_b16_384,EvidenceMem v4 continuous fusion,Full kNN,noninferiority,0.01,-0.009818181818181818,-0.9818181818181818,-0.01285,-0.006787878787878788,-1.2850000000000001,-0.6787878787878788,0.0001999600079984003,0.0625,"[-0.008787878787878787, -0.009696969696969697, -0.01090909090909091, -0.0069696969696969695, -0.012727272727272728]",5000,5,3300,440,13200,30.0,-0.01,False,supported iff the hierarchical 95% CI lower bound is greater than -0.0100
H2_facility_superiority,secondary,siglip2_b16_384,EvidenceMem v4 continuous fusion,Facility selection (no reliability) fused,superiority,0.0,0.0012121212121212121,0.12121212121212122,-0.0010303030303030303,0.003515151515151515,-0.10303030303030303,0.3515151515151515,0.30293941211757647,0.375,"[0.0030303030303030303, 0.0006060606060606061, -0.0009090909090909091, 0.0036363636363636364, -0.00030303030303030303]",5000,5,3300,440,440,1.0,0.0,False,supported iff the hierarchical 95% CI lower bound is greater than +0.0000
