method,seed,encoder_key,resolution,evaluation_stage,evaluation_split,n,accuracy,balanced_accuracy,macro_f1,nll,brier,ece_15,ece_15_uncalibrated,nll_uncalibrated,aurc,temperature,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,stored_examples,budget_per_class,selected_alpha,selected_k,selected_class_k,selected_reliability_power,global_neighbor_label_precision_at_k,query_reliability_mean,text_weight_mean,inference_ms_per_query
Random memory fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9257575757575758,0.9257575757575757,0.9243326304830554,0.24317617004343556,0.11277167861292123,0.02478025069730315,0.5824647122431768,1.1280094965730447,0.009563935349663627,0.2,0.8223384435686114,0.899090909090909,0.967644084934277,440,40.0,0.75,20.0,,,0.7660454545454546,,,0.02062670515153348
Centroid fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.011178246363670041
KMeans medoids fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9466666666666667,0.9466666666666668,0.945808830489261,0.19013425252393343,0.08521467940969414,0.023937258910133374,0.5839519208407127,1.059643939901231,0.005982449936692834,0.2,0.9287827765053659,0.9066666666666666,0.9806149732620321,440,40.0,0.75,10.0,,,0.8620909090909091,,,0.019825030606102013
Facility selection (no reliability) fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9487878787878787,0.9487878787878788,0.9484546539427612,0.17552415883440745,0.07937717171415996,0.01193999895208872,0.22182915698287586,0.39253986204435726,0.005403481349761299,0.5,0.8097326601026028,0.9084848484848485,0.9803202134756505,440,40.0,0.25,10.0,,,0.8575757575757575,,,0.019608449696961266
EvidenceMem v2 selection fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9424242424242424,0.9424242424242425,0.9419557512516824,0.2640201852710615,0.09676740981797946,0.03989836497598906,0.5688855659902152,1.0423391653341887,0.008955094686629236,0.2,0.9752430187942993,0.8921212121212121,0.9769021739130435,440,40.0,0.75,3.0,,,0.9167676767676768,,,0.018489674545449045
EvidenceMem v4 global fusion,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9478787878787879,0.947878787878788,0.9475380425534946,0.20638436553372505,0.08141655154182748,0.05406815538625297,0.4036566822775442,0.6673271834443252,0.005368560490039479,0.5,0.7276508928675094,0.906969696969697,0.9792849983294354,440,40.0,0.5,10.0,,,0.8575757575757575,,,0.016569764848444527
EvidenceMem v4 class-conditional visual,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9490909090909091,0.9490909090909091,0.9486672064457943,0.17097996994184145,0.0790176211290296,0.018851270478754584,0.40718635909842266,0.7053865016454843,0.004546719400940459,0.2,0.8886380900721689,0.9015151515151515,0.9818487394957983,440,40.0,,,10.0,1.0,0.8575757575757575,0.5491535067558289,0.0,0.05820681333330647
EvidenceMem v4 fixed fusion,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9490909090909091,0.9490909090909091,0.9486672064457943,0.17097996994184145,0.0790176211290296,0.018851270478754584,0.40718635909842266,0.7053865016454843,0.004546719400940459,0.2,0.8886380900721689,0.9015151515151515,0.9818487394957983,440,40.0,,,10.0,1.0,0.8575757575757575,0.5491535067558289,0.0,0.05820681333330647
EvidenceMem v4 continuous fusion,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9493939393939393,0.9493939393939392,0.948983609159458,0.16854083550657903,0.078546183067497,0.01946879003555905,0.4499108326821453,0.7823748648155046,0.0045617831257683305,0.2,0.8814651743380049,0.9012121212121212,0.9818426361802286,440,40.0,,,10.0,1.0,0.8575757575757575,0.5491535067558289,0.09697988629341125,0.05820681333330647
Tip-Adapter (matched cache),17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9157575757575758,0.9157575757575757,0.9137287831384207,0.33155533428493955,0.13605736862712348,0.03982754659125739,0.03982754659125739,0.33155533428493955,0.014839519433552948,1.0,0.8188821774246154,0.8960606060606061,0.9523165370307745,440,40.0,,,,,0.8242727272727273,,,0.006623800303039003
CLIP zero-shot,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8796969696969696,0.8796969696969696,0.8769375934790692,0.7524928427365811,0.32103319356568544,0.324947961624787,0.7839846189837093,2.348580033338351,0.048430636081381775,0.02,0.3060153116683117,0.8984848484848484,0.9143338954468803,0,,,,,,,,,0.0
Full kNN,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9590909090909091,0.959090909090909,0.9588246483419222,0.35758902917307667,0.06287429833280521,0.011950978386985587,0.011950978386985587,0.35758902917307667,0.010821963554657778,1.0,0.8185022265047955,0.9054545454545454,0.9886211512717537,13200,,,10.0,,,,,,0.10257441060606322
Linear probe,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9666666666666667,0.9666666666666668,0.966588928283148,0.11041394655416507,0.05048357042902896,0.011819357118448323,0.011819357118448323,0.11041394655416507,0.0019480554311093043,1.0,0.8720905016784811,0.896969696969697,0.9949324324324325,0,,,,,,,,,0.0024213203030078807
Random memory fused,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9272727272727272,0.9272727272727274,0.9267359827309275,0.2806133187233343,0.11561761811981705,0.0389596227270146,0.3790799387056476,0.6961768427440698,0.011341701923382309,0.5,0.7208481065600739,0.8981818181818182,0.9659244264507423,440,40.0,0.5,5.0,,,0.8684848484848485,,,0.019415220000003803
Centroid fused,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.012761259393948532
KMeans medoids fused,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9472727272727273,0.9472727272727273,0.9468673818525727,0.20976453215765464,0.08766019131145095,0.030531032815821847,0.5792432981758128,1.04741078833114,0.0072909182872123186,0.2,0.9558038882778882,0.8975757575757576,0.9814314652261985,440,40.0,0.75,5.0,,,0.8965454545454545,,,0.01615447818184376
Facility selection (no reliability) fused,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9490909090909091,0.9490909090909092,0.9484843495176526,0.17513381432606873,0.07930981198031672,0.012488406890763302,0.22356130416788808,0.39431179189547877,0.005423558609831421,0.5,0.8085855057403802,0.9081818181818182,0.9813146479813146,440,40.0,0.25,10.0,,,0.8568484848484849,,,0.015895788787860732
EvidenceMem v2 selection fused,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9415151515151515,0.9415151515151514,0.9406714999086723,0.2288662295016626,0.09662316478351175,0.03287133775658563,0.5767424249266366,1.0612756884269372,0.007110966106149351,0.2,0.941296840976327,0.9024242424242425,0.9758226997985225,440,40.0,0.75,10.0,,,0.8693333333333333,,,0.020612052727287708
EvidenceMem v4 global fusion,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9475757575757576,0.9475757575757576,0.9469025016945852,0.21013759574531857,0.083784908826377,0.0499339042074325,0.4022066119136862,0.6678883897454384,0.0055873503367896,0.5,0.7424413310937974,0.9042424242424243,0.9812332439678284,440,40.0,0.5,10.0,,,0.8568484848484849,,,0.01703942818184342
EvidenceMem v4 class-conditional visual,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9481818181818182,0.9481818181818183,0.9475939857849365,0.18409122664670002,0.07999355379384016,0.020414824903387613,0.37265801532840476,0.6482533812686281,0.004904050652574477,0.2,0.9060986622130023,0.9045454545454545,0.9822445561139028,440,40.0,,,5.0,0.5,0.8568484848484849,0.8358170390129089,0.0,0.06083363575760703
EvidenceMem v4 fixed fusion,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9481818181818182,0.9481818181818183,0.9475939857849365,0.18409122664670002,0.07999355379384016,0.020414824903387613,0.37265801532840476,0.6482533812686281,0.004904050652574477,0.2,0.9060986622130023,0.9045454545454545,0.9822445561139028,440,40.0,,,5.0,0.5,0.8568484848484849,0.8358170390129089,0.0,0.06083363575760703
EvidenceMem v4 continuous fusion,29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9481818181818182,0.9481818181818183,0.9475939857849365,0.18409122664670002,0.07999355379384016,0.020414824903387613,0.37265801532840476,0.6482533812686281,0.004904050652574477,0.2,0.9060986622130023,0.9045454545454545,0.9822445561139028,440,40.0,,,5.0,0.5,0.8568484848484849,0.8358170390129089,0.0,0.06083363575760703
Tip-Adapter (matched cache),29,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9163636363636364,0.9163636363636364,0.9145452839865565,0.30883477902655554,0.13239793985747048,0.04263872050993946,0.04263872050993946,0.30883477902655554,0.013340445720758862,1.0,0.8264731933481773,0.896969696969697,0.956081081081081,440,40.0,,,,,0.8350606060606061,,,0.006676634848466192
CLIP zero-shot,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8796969696969696,0.8796969696969696,0.8769375934790692,0.7524928427365811,0.32103319356568544,0.324947961624787,0.7839846189837093,2.348580033338351,0.048430636081381775,0.02,0.3060153116683117,0.8984848484848484,0.9143338954468803,0,,,,,,,,,0.0
