encoder_key,resolution,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,global_neighbor_label_precision_mean,aurc_mean,ece_mean,ece_uncalibrated_mean,selective_coverage_mean,selective_accuracy_mean,inference_ms_per_query_mean
siglip2_b16_384,384,Linear probe,0.9666666666666666,0.0,0.9666666666666668,0.9665889282831481,0.0,0.0,0.0019480554311093045,0.011819357118448323,0.011819357118448323,0.8969696969696969,0.9949324324324325,0.0024213203030078807
siglip2_b16_384,384,Full kNN,0.9590909090909092,0.0,0.959090909090909,0.958824648341922,0.0,0.0,0.010821963554657778,0.011950978386985587,0.011950978386985587,0.9054545454545455,0.9886211512717538,0.10257441060606323
siglip2_b16_384,384,EvidenceMem v4 continuous fusion,0.9492727272727273,0.002170424797511496,0.9492727272727273,0.9487767158998907,0.002131520168540948,0.8645515151515152,0.004571444991563239,0.018113637648888705,0.42618717756425417,0.9027878787878787,0.9828141611728147,0.060305304909089696
siglip2_b16_384,384,EvidenceMem v4 fixed fusion,0.9492121212121212,0.00217042479751151,0.9492121212121212,0.948713435357158,0.0021285369552715696,0.8645515151515152,0.004568432246597665,0.017990133737527815,0.4176422828475096,0.9028484848484849,0.9828153818359286,0.060305304909089696
siglip2_b16_384,384,EvidenceMem v4 class-conditional visual,0.948969696969697,0.0018004182760621701,0.948969696969697,0.9484647070429911,0.0017581454352308908,0.8645515151515152,0.0046510928682658055,0.019265230379211913,0.37807025272030587,0.9030303030303031,0.9824849100341113,0.060305304909089696
siglip2_b16_384,384,Facility selection (no reliability) fused,0.948060606060606,0.0010409432749889473,0.948060606060606,0.9475798430985861,0.0009954380773609232,0.8645515151515152,0.007683031255083484,0.018682749190266846,0.32851645035949656,0.9093333333333333,0.9813367042679486,0.01800940448481814
siglip2_b16_384,384,EvidenceMem v4 global fusion,0.9474545454545454,0.000972533729447308,0.9474545454545454,0.9469441947588251,0.0009283767392573348,0.8645515151515152,0.007718855339080438,0.041183475472702444,0.364077732979706,0.907939393939394,0.9811068972391496,0.018764796424255277
siglip2_b16_384,384,KMeans medoids fused,0.9452727272727273,0.001887565030593615,0.9452727272727273,0.9446373921453443,0.0019281310332476414,0.8659454545454546,0.006147212171194612,0.02544799660227582,0.582551983381235,0.903878787878788,0.9806295085905499,0.01827535442429728
siglip2_b16_384,384,EvidenceMem v2 selection fused,0.9414545454545454,0.0011419056776616136,0.9414545454545455,0.9407896661442174,0.0012859888410924614,0.8975353535353536,0.008526961819069312,0.037139364457434605,0.5714170902381543,0.9012727272727273,0.9754594195350226,0.020334045454546867
siglip2_b16_384,384,Random memory fused,0.9276969696969697,0.003253873865586932,0.9276969696969697,0.9267256802822222,0.0031927409581634495,0.8324454545454545,0.009947417667840922,0.03374854130341569,0.5346199203849751,0.8982424242424243,0.9669367391821716,0.0208882603030471
siglip2_b16_384,384,Tip-Adapter (matched cache),0.9157575757575758,0.0010713739108887239,0.9157575757575758,0.913775544436524,0.0007493758050031848,0.8304242424242425,0.014312493641119034,0.04097853588906911,0.04097853588906911,0.8992727272727272,0.9536366247793637,0.006638963090911905
siglip2_b16_384,384,Centroid fused,0.8942424242424243,0.0,0.8942424242424242,0.8918249059675116,0.0,0.0999090909090909,0.017738389590584318,0.030246640536126957,0.6342360834663398,0.9015151515151516,0.9408403361344538,0.013402105333308567
siglip2_b16_384,384,CLIP zero-shot,0.8796969696969696,0.0,0.8796969696969696,0.8769375934790691,0.0,0.0,0.048430636081381775,0.324947961624787,0.7839846189837093,0.8984848484848484,0.9143338954468803,0.0
